ID,Module,pre/post,Term#,prepost#,Term,Gender#,FirstGen#,FinancialAid#,Race#,International,Application,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,interest,aspirations,beliefs,selfefficacy
9,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2019,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,4,3,4,4,4,3,4,4,4,3,4,4,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,3,3,4,5
9,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2019,5,5,5,5,5,5,5,5,3,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,2,2,5,5,5,5,5,2,2,4,5,5,5,3
10,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2019,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5
11,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2019,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,3,2,1,3,4,4,2,4,4,4,2,3,5,5,5,3
11,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2019,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5
12,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2019,5,4,4,4,5,5,3,5,3,5,4,4,3,2,2,2,3,2,4,4,4,2,3,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,2,4,4,4,5,5,3,3,4,4,3,5,4
12,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2019,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
13,ANTH6,pre,4,1,Fall 2022,1,2,1,7,2,2019,4,5,4,3,4,5,5,4,2,5,5,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4
13,ANTH6,post,4,2,Fall 2022,1,2,1,7,2,2019,4,5,5,5,4,5,4,5,5,4,4,2,5,3,4,4,4,3,4,3,5,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4
14,ANTH6,pre,4,1,Fall 2022,2,2,1,7,2,2019,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,5,4,4,4,5,5,5,4
14,ANTH6,post,4,2,Fall 2022,2,2,1,7,2,2019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,ANTH6,pre,4,1,Fall 2022,2,2,1,7,2,2019,3,4,3,2,2,4,4,4,3,4,3,2,2,3,4,3,2,3,4,2,4,3,4,4,2,2,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,2,3,3,4,4
15,ANTH6,post,4,2,Fall 2022,2,2,1,7,2,2019,5,4,4,3,3,4,4,3,4,5,5,4,5,4,4,4,3,4,3,4,5,4,4,4,3,3,3,4,4,5,3,5,4,4,5,4,5,4,5,5,4,4,4,5,5,3,4,4,4,3,4,4,5,4,4,4,4
16,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2019,2,4,5,5,4,5,5,4,3,5,4,4,4,3,4,3,3,4,4,3,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,5,2,5,5,2,2,4,4,4,5,4
16,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2019,5,5,5,4,4,4,4,5,4,5,4,2,3,4,5,3,4,4,4,4,4,5,4,4,4,3,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,2,4,5,4,5,5,4,2,4,4,4,5,4
17,ANTH6,pre,4,1,Fall 2022,2,2,1,7,1,2019,4,5,5,5,5,5,5,5,4,5,5,3,5,2,5,4,5,4,5,2,4,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,5,4,4,5,5,5,4,2,2,5,4,5,4
17,ANTH6,post,4,2,Fall 2022,2,2,1,7,1,2019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2020,3,5,5,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,5,4,4,5,4,4,2,4,4,5,5,4,5,4,4,4,5,5,5,4,5,4,4,3,3,3,4,4,3,4,4,2,4,5,4,4,4,4
18,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2020,4,5,4,4,4,3,3,5,4,4,5,4,4,4,5,4,5,5,5,5,4,3,4,4,4,4,4,4,3,3,5,4,3,3,4,3,4,4,4,4,4,4,5,5,4,4,5,4,5,4,5,5,4,4,4,4,4
19,ANTH6,pre,4,1,Fall 2022,2,2,1,4,2,2019,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
19,ANTH6,post,4,2,Fall 2022,2,2,1,4,2,2019,3,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5
20,ANTH6,pre,4,1,Fall 2022,1,2,1,3,2,2019,4,5,5,5,5,5,5,5,1,5,5,2,1,1,5,1,3,3,3,1,5,5,5,5,3,1,5,5,5,5,5,1,4,3,5,2,4,4,4,2,4,2,3,2,2,4,3,2,3,4,2,2,3,5,3,4,3
20,ANTH6,post,4,2,Fall 2022,1,2,1,3,2,2019,2,4,2,3,3,4,4,4,1,4,3,1,2,1,5,2,4,1,3,3,3,5,4,3,4,1,3,4,3,4,4,3,3,4,3,3,4,2,5,1,1,1,3,1,1,3,4,4,3,5,1,1,1,3,3,3,1
21,ANTH6,pre,4,1,Fall 2022,1,2,2,2,2,2019,4,4,2,1,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,4,4,4,5,4,2,1,4,2,4,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,3,2,4,4,4,4,4,4,3,4,4,4,4
21,ANTH6,post,4,2,Fall 2022,1,2,2,2,2,2019,3,5,4,3,4,4,4,4,3,4,4,2,3,3,5,3,4,4,5,4,4,4,5,4,4,1,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4
22,ANTH6,pre,4,1,Fall 2022,1,2,1,2,2,2019,4,4,4,3,3,4,3,4,2,3,4,2,3,2,4,2,2,1,2,4,2,4,4,4,2,2,4,4,4,4,5,4,5,4,5,4,4,4,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,2,4,5
22,ANTH6,post,4,2,Fall 2022,1,2,1,2,2,2019,2,4,4,2,4,4,4,4,2,4,4,2,2,4,5,2,2,2,4,1,2,5,4,4,2,2,4,3,4,5,5,5,4,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,4,5
23,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2019,4,4,4,5,5,5,4,5,4,5,5,3,4,4,5,4,4,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,5,4,4,5,5,4,5,4
23,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2019,4,5,4,5,5,5,5,5,5,5,5,3,4,4,5,5,4,5,5,5,5,5,4,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,4,4,4,5,4,3,5,5,5,5,5,4
24,ANTH6,pre,4,1,Fall 2022,1,2,1,2,2,2019,3,5,4,3,4,4,4,4,3,4,4,2,5,3,5,3,4,5,4,4,4,4,4,5,4,2,4,3,4,4,5,3,5,4,4,4,4,4,4,3,4,3,3,3,4,2,4,4,4,4,3,2,4,4,4,4,4
24,ANTH6,post,4,2,Fall 2022,1,2,1,2,2,2019,4,4,3,3,4,4,3,5,3,4,4,2,4,2,4,4,3,3,4,2,3,4,4,4,4,2,4,4,4,4,5,3,4,4,5,3,4,4,5,3,2,4,3,2,3,2,4,3,4,4,2,2,3,4,4,4,3
25,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2020,4,5,4,3,3,4,5,4,3,4,3,2,2,1,5,4,3,3,5,4,4,4,5,5,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,5,3,3,3,4,4,4,4
25,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2020,4,5,3,3,3,5,4,4,4,4,3,2,4,2,5,4,3,2,4,3,4,4,4,5,3,2,4,4,5,4,5,4,5,4,5,3,5,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,3,4,4,4,4
26,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2020,2,4,2,2,4,4,3,4,2,2,2,1,2,1,4,3,1,1,2,2,3,2,3,3,2,1,4,5,4,4,4,1,4,4,4,4,3,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
26,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2020,4,4,4,4,4,3,4,3,4,3,2,1,4,3,4,3,3,4,4,3,2,3,4,3,1,3,4,4,4,3,4,4,4,5,4,4,3,3,4,2,2,3,1,2,3,2,1,2,1,3,2,1,1,4,3,4,2
27,ANTH6,pre,4,1,Fall 2022,1,2,2,6,1,2020,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5
27,ANTH6,post,4,2,Fall 2022,1,2,2,6,1,2020,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2020,4,4,4,4,4,5,4,5,3,4,4,3,4,4,5,4,4,4,5,2,4,4,5,4,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,4,4,5,4,4,4,3,3,4,4,4,4,4,2,4,4,5,4
28,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2020,3,3,3,3,3,3,3,3,2,3,2,2,3,3,4,2,3,3,3,1,4,4,3,3,3,1,3,3,4,3,5,3,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3
29,ANTH6,pre,4,1,Fall 2022,2,2,1,7,2,2020,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,3,5,4,4,5,4,3,4,5,5,5,4
29,ANTH6,post,4,2,Fall 2022,2,2,1,7,2,2020,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,4,5,5,5,5
30,ANTH6,pre,4,1,Fall 2022,2,2,2,2,1,2020,4,5,5,5,5,5,4,5,4,5,4,5,5,4,5,5,5,3,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4,5,4,4,5,5,5,5,4
30,ANTH6,post,4,2,Fall 2022,2,2,2,2,1,2020,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4
31,ANTH6,pre,4,1,Fall 2022,2,1,1,3,2,2020,4,5,3,2,3,4,4,5,4,5,5,1,3,1,3,3,4,4,2,1,2,2,4,4,1,2,4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,2,3,3,5,3,5,4,2,3,4,4,2,4,4
31,ANTH6,post,4,2,Fall 2022,2,1,1,3,2,2020,4,5,2,4,4,3,5,5,4,5,5,2,5,3,5,4,4,4,5,2,3,4,5,4,2,1,4,4,5,5,5,5,4,4,5,5,5,3,5,5,4,5,4,4,3,3,5,4,4,4,3,3,3,4,4,5,4
32,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2020,3,5,4,4,5,5,4,5,5,5,4,1,4,4,5,5,4,2,4,3,5,3,5,4,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,4,4,3,4,4,4,4,4,2,3,2,5,4,5,4
32,ANTH6,post,4,2,Fall 2022,1,2,2,7,2,2020,5,4,4,4,4,4,4,5,4,4,3,2,4,3,5,4,5,3,4,2,4,5,5,4,3,2,4,4,5,4,5,4,5,5,4,4,5,4,5,3,3,3,2,3,4,3,4,3,4,4,3,3,2,4,4,4,3
33,ANTH6,pre,4,1,Fall 2022,1,1,2,7,2,2020,4,5,5,4,5,4,5,4,2,5,5,2,4,4,4,4,4,3,5,3,3,4,4,4,3,2,4,4,4,5,5,4,4,4,5,5,4,4,4,4,3,4,3,3,4,3,4,3,4,4,3,3,3,5,4,4,3
33,ANTH6,post,4,2,Fall 2022,1,1,2,7,2,2020,4,4,4,3,4,3,4,4,3,2,4,4,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,4,3,4,4,3,4,3,4,3,4,4,3,3,4,3,4,3,3,3,4,4,2,3,3,4,4,4,4,3
34,ANTH6,pre,4,1,Fall 2022,1,2,1,3,2,2020,5,5,5,5,5,5,4,5,5,5,5,3,4,3,5,5,5,4,4,5,5,4,5,4,5,2,5,5,3,5,4,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,5,3,4,4,5,5,5,5,4,5,4
34,ANTH6,post,4,2,Fall 2022,1,2,1,3,2,2020,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35,ANTH6,pre,4,1,Fall 2022,2,2,1,7,1,2020,4,4,4,2,5,4,3,5,3,4,2,2,3,1,2,2,3,3,3,2,3,4,2,3,3,1,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,4,3,4,3
35,ANTH6,post,4,2,Fall 2022,2,2,1,7,1,2020,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4
36,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2020,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,2,4,5,4,5,5,5,4,5,5,5,5,5,5,5,2,4,5,5,4,3,2,3,2,5,4,2,3,4,5,5,5,4
36,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2020,5,5,4,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,3,3,3,4,3,3,3,3,4,3,3,2,2,3,5,5,5,3
37,ANTH6,pre,4,1,Fall 2022,1,2,2,5,2,2020,4,4,4,2,5,5,4,4,4,4,3,2,3,3,5,4,4,3,4,2,4,5,4,4,3,2,4,3,4,5,5,4,5,5,5,4,5,5,5,3,3,3,3,4,2,3,4,4,3,4,2,2,3,4,4,5,3
37,ANTH6,post,4,2,Fall 2022,1,2,2,5,2,2020,3,4,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,4,5,5,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,5,3
38,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2020,4,4,5,4,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,3,5,4,4,5,5,4,4,5,4,4,5,4,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,4,5,4,5
38,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2020,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,2,4,5,5,4,5,4,5,5,5,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5
39,ANTH6,pre,4,1,Fall 2022,2,2,1,7,2,2020,2,3,4,4,3,3,4,4,3,3,5,1,3,2,5,5,5,3,3,1,1,3,5,4,3,1,3,4,3,4,5,3,5,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4
39,ANTH6,post,4,2,Fall 2022,2,2,1,7,2,2020,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,1,4,4,4,4,2,1,4,3,4,4,4,3,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
40,ANTH6,pre,4,1,Fall 2022,1,2,1,6,2,2020,3,3,4,4,3,3,3,4,3,4,3,3,4,2,5,3,4,3,5,4,4,4,4,5,3,2,4,4,4,4,3,4,5,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,4,3,4,4,3
40,ANTH6,post,4,2,Fall 2022,1,2,1,6,2,2020,3,3,3,3,4,3,2,3,2,5,4,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,4,3,3,2,4,2,4,2,3,3,3,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3
41,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2021,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5
41,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2021,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,ANTH6,pre,4,1,Fall 2022,2,2,2,7,2,2021,2,4,2,1,2,4,4,4,2,4,3,1,4,3,4,4,3,3,4,2,4,4,4,4,4,2,3,2,4,3,4,2,4,3,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4
42,ANTH6,post,4,2,Fall 2022,2,2,2,7,2,2021,4,4,2,1,3,3,3,2,1,3,2,1,3,2,3,2,3,2,3,2,3,4,3,4,4,1,4,2,4,3,5,4,5,4,5,3,3,4,5,4,3,4,3,3,4,3,3,3,4,4,3,2,2,3,3,4,3
43,ANTH6,pre,4,1,Fall 2022,1,2,1,7,2,2021,5,4,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,4,3,4,4,4,5,3,4,3,5,5,5,4
43,ANTH6,post,4,2,Fall 2022,1,2,1,7,2,2021,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,3,5,4,5,5,4,4,4,5,5,5,4
44,ANTH6,pre,4,1,Fall 2022,1,2,2,5,2,2021,4,5,5,5,5,5,5,5,5,5,5,3,4,3,5,3,3,3,4,4,4,2,2,4,4,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4,3,4,4,5,5,5,5,3,3,4,5,3,5,4
44,ANTH6,post,4,2,Fall 2022,1,2,2,5,2,2021,4,5,5,5,5,5,5,4,5,5,4,3,4,4,5,4,4,4,4,4,3,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,4,4,5,4,5,4
45,ANTH6,pre,4,1,Fall 2022,1,2,2,7,2,2021,4,4,5,3,5,4,5,5,5,4,5,3,4,3,5,3,3,3,4,3,5,4,5,4,3,2,4,4,4,4,3,4,5,4,5,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,3,3,2,5,3,4,3
